name,location__type,latitude,longitude,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Prakash Sandwich and Chaat Centre,,19°11′41″ N ,72°58′30″ E,Mumbai ,Maharahstra ,sandwich ,pani puri,3 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736190745/prakash_rdm3jj.jpg
Ram Sevak,,19°11′41″ N,72°58′35″ E,Mumbai ,Maharahstra ,pav bhaji,vada pav,2 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736230674/ram_sevak_jkue04.jpg
Divadkar Bandu Sandwich and Pani Puri,,19°11′24″ N,72°58′17″ E,Mumbai ,Maharahstra ,pani puri,sandwich,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736231077/divakarbandhu_ul4ss6.jpg
Sadguru,,19°11′24″ N,72°58′14″ E,Mumbai ,Maharahstra ,burger,bhel puri,3 star,5 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736231395/sadguru_fvwyhn.jpg
Shegav Kachori,,19°11′23″ N,72°58′8″ E ,Mumbai ,Maharahstra ,kachori,pav bhaji,5 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736246269/shegavkachori_jbk8vk.jpg
Gupta Pani Puri Centre,,19°11′30″ N,72°58′23″ E,Mumbai ,Maharahstra ,pani puri,sodas,2 star,5 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736257595/guptapanipuri_vyaylw.jpg
Mom's Kitchen,, 19°11′32″ N,72°58′25″ E,Mumbai ,Maharahstra ,pulao,dal rice,5 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736257762/momskitchen_kurxt8.jpg
Saikrupa Chaat Corner,,19°11′28″ N, 72°58′21″ E,Mumbai ,Maharahstra ,sev puri,bhel ,3 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736257942/saikrupa_vo3vr1.jpg
Dheeraj Momos Centre,,19°11′43″ N,72°58′36″ E ,Mumbai ,Maharahstra ,momos,noodles,3 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736258252/dheerajmomos_vaaawx.jpg
Aaikrupa,,19°11′39″ N,72°58′25″ E,Mumbai ,Maharahstra ,ice-cream,sodas,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736258288/aaikrupa_tc2tpt.jpg
Sham,, 19°11′41″ N ,72°58′32″ E,Mumbai ,Maharahstra ,pav bhaji,vada pav,3 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736258789/Screenshot_2025-01-07_at_7.32.45_PM_y5ispu.png
Bharat Lal Ice Cream Centre,,19°11′41″ N, 72°58′32″ E,Mumbai ,Maharahstra ,ice-cream,gola,3 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736258984/Screenshot_2025-01-07_at_7.33.10_PM_znzkjd.png
Steam Hot momos,,19°11′30″ N,72°58′2″ E,Mumbai ,Maharahstra ,momos,noodles,2 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736430257/IMG_0890_hufuz9.jpg
Jai Mata Di dabeli centre,,19°11′37″ N,72°58′4″ E,Mumbai ,Maharahstra ,dabeli,pav bhaji,3 star,4 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736430772/jaimatadabeli_ubtj5z.jpg
Narial Wala,,19°11′41″ N,72°58′0″ E,Mumbai ,Maharahstra ,coconut,juice,2 star,3 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736431062/narial_wala_n67shm.jpg
Gopi sandwich,,19°11′42″ N,72°58′0″ E,Mumbai ,Maharahstra ,sandwich ,burger,3 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736430958/gopisandwich_kbco0e.jpg
Apte Joshi vada pav,,19°11′42″ N,72°58′0″ E,Mumbai ,Maharahstra ,vada pav,misal pav,4 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736431563/aptehjoshi_vbzwrk.jpg
 Mhatre snacks corner,,19°11′43″ N,72°57′57″ E,Mumbai ,Maharahstra ,samosa,vada pav,2 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736431602/mhatre_xvoeyy.jpg
The happy samosa,,19°11′43″ N,72°57′57″ E,Mumbai ,Maharahstra ,samosa,kachori,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736431646/happysamosa_p8bhxk.jpg
Jai Maharashtra Chinese corner,,19°11′43″ N,72°57′57″ E,Mumbai ,Maharahstra ,chowmein,manchurian,3 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736432004/maharahstra_chinese_fbvkok.jpg
Gupta Bhel Puri and Snacks,,19.283664° N,72.819935° E,Mumbai,Maharahstra ,bhel puri/sev puri,cheese blast sandwich,4 star,4 star,4 star,https://res.cloudinary.com/dmf9sk3jv/image/upload/v1736503121/Screenshot_2025-01-10_at_3.28.20_PM_mtqxeh.png
Seena chinese corner,,19.20030 ° N,72°57′56″ E,Mumbai,Maharashtra,noodles,manchurian,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1736503401/seenachinese_qqwuxz.jpg
Gupta Snacks ,,19.2107° N,72.8397 ° E,Mumbai,Maharashtra,panini sandwich,"sev puri, pizza",2 star,3 star,3 star,https://res.cloudinary.com/dmf9sk3jv/image/upload/v1736504478/Screenshot_2025-01-10_at_3.50.57_PM_hn36gi.png
